"Timestamp (seconds)","Heart Rate (PPG Peak Detection)","Heart Rate (PPG Fast Fourier Transform)"
"5","96.18320610687023","98.4375"
"10","100.8","49.21875"
"15","73.7704918032787","49.21875"
"20","123.07692307692308","91.40625"
"25","77.58620689655173","49.21875"
"30","140.8695652173913","91.40625"
"35","100.8","84.375"
"40","90.0","49.21875"
"45","99.21259842519686","56.25"
"50","87.80487804878048","49.21875"
"55","84.37500000000001","56.25"
"60","94.02985074626866","70.3125"
"65","114.28571428571428","56.25"
"70","98.18181818181819","98.4375"
"75","112.5","49.21875"
"80","113.38582677165354","84.375"
"85","117.07317073170732","70.3125"
"90","131.70731707317074","56.25"
"95","119.11764705882354","70.3125"
"100","109.56521739130436","105.46875"
"105","83.72093023255813","49.21875"
"110","97.67441860465118","49.21875"
"115","115.19999999999999","49.21875"
"120","120.0","70.3125"
"125","124.13793103448276","56.25"
"130","117.39130434782606","56.25"
"135","75.0","63.28125"
"140","98.43750000000001","63.28125"
"145","127.27272727272728","70.3125"
